question_address,event_params__character_name,event_params__current_tier,event_params__current_question_index,event_params__ga_session_id,question_started,potions_bought,incense_bought,amulet_bought,alicin_used,coffee_used,cauldron_used,scroll_opened,answered_correct,answered_wrong,ads_watched,wrong_answer_ratio,ads_watch_ratio,alicin_use_ratio,coffee_use_ratio,cauldron_use_ratio,scroll_use_ratio
Aisha - T: 1 - Q: 1,Aisha,1,1,1763797836.0,1,0,0,0,0,0,0,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0
Aisha - T: 1 - Q: 2,Aisha,1,2,1763797836.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Aisha - T: 1 - Q: 3,Aisha,1,3,1763797836.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Aisha - T: 1 - Q: 4,Aisha,1,4,1763797836.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 1,Almira Lotus,1,1,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 10,Almira Lotus,1,10,1764003734.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 11,Almira Lotus,1,11,1764003734.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 12,Almira Lotus,1,12,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 13,Almira Lotus,1,13,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 14,Almira Lotus,1,14,1764003734.0,1,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
Almira Lotus - T: 1 - Q: 2,Almira Lotus,1,2,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 3,Almira Lotus,1,3,1764003734.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 4,Almira Lotus,1,4,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 5,Almira Lotus,1,5,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 6,Almira Lotus,1,6,1764003734.0,1,0,0,0,0,0,0,0,1,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 7,Almira Lotus,1,7,1764003734.0,1,0,0,0,0,0,0,0,1,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 8,Almira Lotus,1,8,1764003734.0,1,0,0,0,0,0,0,0,1,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 1 - Q: 9,Almira Lotus,1,9,1764003734.0,1,0,0,0,0,0,0,0,1,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 10,Almira Lotus,2,10,1763667547.0,1,1,0,1,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 11,Almira Lotus,2,11,1763667547.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 12,Almira Lotus,2,12,1763667547.0,1,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
Almira Lotus - T: 2 - Q: 5,Almira Lotus,2,5,1763667547.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 6,Almira Lotus,2,6,1763667547.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 7,Almira Lotus,2,7,1763667547.0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
Almira Lotus - T: 2 - Q: 8,Almira Lotus,2,8,1763667547.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
