event_params__ga_session_id,user_pseudo_id,session_duration_seconds,session_start_time,customer_character_count,character_list,average_tier,average_wrong_answers,Wheel_Impression,Wheel_Skips,Wheel_Spins,Ads_Watched_Count,gold_starting,gold_gained,gold_spent,gold_delta,is_depted_for_doll,Potions_Bought,Incenses_Bought,Amulets_Bought,AliCin_Used,Cauldron_Used,Coffee_Used,bought_new_customer
1761230271.0,089d61ab6a396a6f815f3446467f1f89,54.98,2025-10-23 14:37:50.445000+00:00,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1761494879.0,0dba2f4100e8fd62a8b2e3441feb16b1,153.64,2025-10-26 16:07:59.034000+00:00,1.0,"['T', 'T']",1.0,0.0,0,0,0,0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1760469936.0,0f8f649263450c258692b2c77bc0fb0d,,2025-10-14 19:25:36.480000+00:00,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1759239546.0,14dc8a61fa5b0fafaef6e79df39870f4,,,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1759523335.0,1d7b2a6a724ea974d860ef237e32d05b,,2025-10-03 20:28:53.407000+00:00,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1759319977.0,2c47397152df7cf520f26b3e2bd289d9,529.23,2025-10-01 11:59:37.804000+00:00,1.0,['Little A'],3.0,0.0,1,0,1,0,1990.0,0.0,400.0,-400.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1759329789.0,2c47397152df7cf520f26b3e2bd289d9,407.46,2025-10-01 14:43:09.017000+00:00,1.0,['Little A'],3.0,0.0,0,0,0,0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1759342779.0,2c47397152df7cf520f26b3e2bd289d9,2403.39,2025-10-01 18:19:39.403000+00:00,4.0,"['Little A', 'Little A', 'Little A', 'Little A', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Tracy', 'Father Gold', 'Father Gold', 'Father Gold', 'Father Gold', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct', 'Sinnct']",2.896551724137931,1.103448275862069,0,0,0,0,1990.0,2750.0,2400.0,350.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1
1759350982.0,2c47397152df7cf520f26b3e2bd289d9,208.42,2025-10-01 20:36:22.103000+00:00,,,0.0,0.0,0,0,0,0,0.0,0.0,2300.0,-2300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1759707887.0,2c47397152df7cf520f26b3e2bd289d9,1342.64,2025-10-05 23:44:47.891000+00:00,7.0,"['Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Billy', 'Billy', 'Billy', 'Billy', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Mi', 'Mi', 'Mi', 'Mi', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie']",1.0888888888888888,0.6363636363636364,0,0,0,0,40.0,1430.0,600.0,830.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
