event_timestamp,event_name,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,user_first_touch_timestamp,stream_id,platform,is_active_user,batch_event_index,batch_page_id,batch_ordering_id,event_params__engaged_session_event,event_params__ad_network,event_params__time_spent,event_params__firebase_screen_class,event_params__firebase_screen_id,event_params__ad_placement,event_params__firebase_event_origin,event_params__ga_session_id,event_params__ga_session_number,event_params__ad_unit_id,user__ga_session_number,user__ga_session_id,user__first_open_time,privacy_info__ads_storage,privacy_info__analytics_storage,privacy_info__uses_transient_token,user_ltv,device__advertising_id,device__browser,device__browser_version,device__category,device__is_limited_ad_tracking,device__language,device__mobile_brand_name,device__mobile_marketing_name,device__mobile_model_name,device__mobile_os_hardware_model,device__operating_system,device__operating_system_version,device__time_zone_offset_seconds,device__vendor_id,device__web_info,geo__city,geo__continent,geo__country,geo__metro,geo__region,geo__sub_continent,app_info__firebase_app_id,app_info__id,app_info__install_source,app_info__install_store,app_info__version,event_dimensions,traffic_source__medium,traffic_source__name,traffic_source__source,ecommerce,collected_traffic_source,event_params__ad_instance,event_params__ad_revenue,event_params__ad_reward_type,event_params__ad_reward_amount,event_params__how_its_earned,event_params__currency_name,event_params__where_its_earned,event_params__earned_amount,event_params__menu_name,event_params__mini_game_name,event_params__mini_game_ri,event_params__answered_wrong,event_params__current_qi,event_params__current_tier,event_params__character_name,event_params__firebase_previous_id,event_params__firebase_previous_class,event_params__engagement_time_msec,event_params__spent_to,event_params__spent_amount,event_params__where_its_spent,event_params__session_engaged,event_params__entrances,event_params__wecolme_video,event_params__max_energy,event_params__start_character,event_params__start_gold,event_params__firebase_error,event_params__error_value,event_params__left_energy,event_params__tutorial_video,event_params__groupb_video,event_params__owned_items,event_params__board_items,event_params__ad_id,event_params__ad_error_code,event_params__source,event_params__medium,event_params__campaign_info_source,collected_traffic_source__dclid,collected_traffic_source__gclid,collected_traffic_source__manual_campaign_id,collected_traffic_source__manual_campaign_name,collected_traffic_source__manual_content,collected_traffic_source__manual_creative_format,collected_traffic_source__manual_marketing_tactic,collected_traffic_source__manual_medium,collected_traffic_source__manual_source,collected_traffic_source__manual_source_platform,collected_traffic_source__manual_term,collected_traffic_source__srsltid,event_params__system_app,event_params__update_with_analytics,event_params__system_app_update,event_params__firebase_conversion,event_params__previous_first_open_count,event_datetime,event_previous_datetime,event_first_touch_datetime,user__first_open_datetime,time_delta,event_date,event_time,event_previous_date,event_previous_time,event_first_touch_date,event_first_touch_time,user__first_open_date,device__time_zone_offset_hours,event_params__engagement_time_seconds,event_server_delay_seconds,event_params__time_spent_seconds,ts_weekday,ts_local_time,ts_hour,ts_daytime_named,ts_is_weekend,session_duration_seconds,session_duration_minutes,session_duration_hours,session_start_time,session_end_time,event_duration_seconds,event_params__current_question_index,cumulative_question_index,maze_gender,maze_hand,maze_level,buff_type,buff_gift,buff_gold,earned_buff_type,doll_name,shop_permanent_item,shop_consumable_item,board_item,question_address
1763764282613000,Session Started,1763577025293000,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,1,,,1.0,,,,,,auto,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:31:22.613000+00:00,2025-11-19 18:30:25.293000+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,187257.32,2025-11-21 00:00:00+00:00,22:31:22.613000,2025-11-19 00:00:00+00:00,18:30:25.293000,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:31:22.613000+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,0.012,,,,,,,,,,,,,,
1763764282625001,Screen Viewed,1763577025304001,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,2,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,auto,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:31:22.625001+00:00,2025-11-19 18:30:25.304001+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,187257.321,2025-11-21 00:00:00+00:00,22:31:22.625001,2025-11-19 00:00:00+00:00,18:30:25.304001,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:31:22.625001+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,11.326,,,,,,,,,,,,,,
1763764293951002,Video Watched,1763577069319002,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,3,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,,,,,,,,,,,,wecolme_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:31:33.951002+00:00,2025-11-19 18:31:09.319002+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,187224.632,2025-11-21 00:00:00+00:00,22:31:33.951002,2025-11-19 00:00:00+00:00,18:31:09.319002,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:31:33.951002+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,1.537,,,,,,,,,,,,,,
1763764295488003,Starting Currencies,1763577070246003,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,4,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.0,60.0,,,2.0,,,[],[],,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:31:35.488003+00:00,2025-11-19 18:31:10.246003+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,187225.242,2025-11-21 00:00:00+00:00,22:31:35.488003,2025-11-19 00:00:00+00:00,18:31:10.246003,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:31:35.488003+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,2.796,,,,,,,,,,,,,,
1763764298284004,Question Started,1763577348951004,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,5,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,16,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:31:38.284004+00:00,2025-11-19 18:35:48.951004+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,186949.333,2025-11-21 00:00:00+00:00,22:31:38.284004,2025-11-19 00:00:00+00:00,18:35:48.951004,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:31:38.284004+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,54.376,1,1.0,,,,,,,,,,,,Mi - T: 1 - Q: 1
1763764352660005,Menu Opened,1763577437966005,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,6,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,Scroll Menu,,,,16,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:32:32.660005+00:00,2025-11-19 18:37:17.966005+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,186914.694,2025-11-21 00:00:00+00:00,22:32:32.660005,2025-11-19 00:00:00+00:00,18:37:17.966005,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:32:32.660005+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,1.637,1,1.0,,,,,,,,,,,,Mi - T: 1 - Q: 1
1763764354297006,Menu Closed,1763577458922006,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,7,,,1.0,,1.6346511840820312,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,Scroll Menu,,,,16,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:32:34.297006+00:00,2025-11-19 18:37:38.922006+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,186895.375,2025-11-21 00:00:00+00:00,22:32:34.297006,2025-11-19 00:00:00+00:00,18:37:38.922006,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,1.6346511840820312,Cuma,2025-11-22 01:32:34.297006+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,3.149,1,1.0,,,,,,,,,,,,Mi - T: 1 - Q: 1
1763764357446007,Question Completed,1763577432976007,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,8,,,1.0,,59.164520263671875,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,0.0,16,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:32:37.446007+00:00,2025-11-19 18:37:12.976007+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,186924.47,2025-11-21 00:00:00+00:00,22:32:37.446007,2025-11-19 00:00:00+00:00,18:37:12.976007,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,59.164520263671875,Cuma,2025-11-22 01:32:37.446007+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,5.007,1,1.0,,,,,,,,,,,,Mi - T: 1 - Q: 1
1763764362453008,Earned Virtual Currency,1763577459941008,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,9,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,Normal,Gold,Question,20.0,,,,,16,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:32:42.453008+00:00,2025-11-19 18:37:39.941008+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,186902.512,2025-11-21 00:00:00+00:00,22:32:42.453008,2025-11-19 00:00:00+00:00,18:37:39.941008,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:32:42.453008+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,0.005,1,1.0,,,,,,,,,,,,Mi - T: 1 - Q: 1
1763764362458009,Question Started,1763764298284009,,139,828542,,12cede3a87a9176da35a6422624e59e3,1763577025123000,12043974305,ANDROID,True,10,,,1.0,,,UnityPlayerGameActivity,6.985603693632769e+18,,app,1763764282.0,2.0,,2.0,1763764282.0,19:00:00,Yes,Yes,No,,7f88c6f5-ecfb-4f0b-8410-eefa3051c372,,,mobile,No,en-us,Samsung,Galaxy S24+,SM-S926B,SM-S926B,Android,Android 15,10800,,,Haarlem,Europe,Netherlands,(not set),North Holland,Western Europe,1:200237610417:android:b891f27b614d5b4f7f3990,com.GlyphexGames.EmojiOracle,com.android.vending,,1.0.3,,organic,,google-play,,,,,,,,,,,,,,,15,1,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-21 22:32:42.458009+00:00,2025-11-21 22:31:38.284009+00:00,2025-11-19 18:30:25.123000+00:00,2025-11-19 19:00:00+00:00,64.174,2025-11-21 00:00:00+00:00,22:32:42.458009,2025-11-21 00:00:00+00:00,22:31:38.284009,2025-11-19 00:00:00+00:00,18:30:25.123000,2025-11-19 00:00:00+00:00,3.0,,828.542,,Cuma,2025-11-22 01:32:42.458009+00:00,1,Gece,Hafta İçi,1267.104,21.1184,0.352,2025-11-21 22:31:22.613000+00:00,2025-11-21 22:52:29.717007+00:00,11.973,2,2.0,,,,,,,,,,,,Mi - T: 1 - Q: 2
