event_params__ga_session_id,user_pseudo_id,customer_character_count,character_list,average_tier,average_wrong_answers,session_duration_seconds,session_start_time,Wheel_Impression,Wheel_Skips,Wheel_Spins,Ads_Watched_Count,gold_starting,gold_gained,gold_spent,gold_delta,is_depted_for_doll,Potions_Bought,Incenses_Bought,Amulets_Bought,AliCin_Used,Cauldron_Used,Coffee_Used,bought_new_customer
1758051400.0,2c47397152df7cf520f26b3e2bd289d9,3,"['Mo', 'Mo', 'Mo', 'Mo', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Mo', 'Mo', 'Mo', 'Mo', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Obvious Joe', 'Obvious Joe']",1.44,1.29,,,0,0,0,0,0.0,510.0,400.0,110.0,0.0,0.0,0.0,2.0,,,,1
1758099260.0,a8e9aa3492e6a8e39382c4af63a2966a,3,"['T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo']",1.0,0.31,777.48,2025-09-17 08:54:20.302000+00:00,0,0,0,0,0.0,420.0,200.0,220.0,0.0,,,,,,,1
1758101578.0,6b7bfe13725352467ae11e02235f3a6c,3,"['T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo']",1.0,0.23,842.28,2025-09-17 09:32:58.580000+00:00,0,0,0,0,0.0,390.0,200.0,190.0,0.0,,,,,,,1
1758102590.0,4cc78993f8236585546a9f6aeffa0d13,3,"['Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi']",2.32,0.09,1777.78,2025-09-17 09:49:50.783000+00:00,0,0,0,0,1000.0,3140.0,3100.0,40.0,0.0,0.0,1.0,0.0,,,,1
1758102967.0,744a37f98b8975b7993e38979ae329da,1,"['T', 'T', 'T']",1.0,0.12,770.48,2025-09-17 09:56:07.714000+00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
1758106297.0,4cc78993f8236585546a9f6aeffa0d13,2,"['Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mo']",1.4,0.09,3758.59,2025-09-17 10:51:37.262000+00:00,0,0,0,0,2680.0,510.0,1000.0,-490.0,0.0,,,,0.0,1.0,0.0,0
1758108109.0,eaa3bed88c48097933150012df3e8f73,2,"['Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",1.33,0.12,820.59,2025-09-17 11:21:49.072000+00:00,0,0,0,0,260.0,520.0,200.0,320.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
1758111919.0,4cc78993f8236585546a9f6aeffa0d13,1,"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']",1.56,0.86,2695.41,2025-09-17 12:25:19.212000+00:00,0,0,0,0,950.0,390.0,0.0,390.0,0.0,,,,,,,0
1758115422.0,2c47397152df7cf520f26b3e2bd289d9,6,"['Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Billy', 'Billy', 'Billy', 'Billy', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Frenchie', 'Frenchie']",1.41,0.21,4768.62,2025-09-17 13:23:42.198000+00:00,1,0,1,0,370.0,1040.0,400.0,640.0,0.0,1.0,1.0,0.0,,,,2
1758120488.0,5f84f13d37dad04639af109c15e21f17,3,"['T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T']",1.0,0.44,4129.07,2025-09-17 14:48:08.512000+00:00,0,0,0,0,550.0,650.0,400.0,250.0,0.0,1.0,0.0,0.0,,,,1
