2025-10-29 13:22:00,689  	INFO    	__main__                           	Initializing pipeline...
2025-10-29 13:22:02,176  	INFO    	__main__                           	Module imports successful.
2025-10-29 13:22:02,176  	INFO    	__main__                           	Validating folder structure...
2025-10-29 13:22:02,176  	INFO    	pipeline.utils.main_functions      	Folder structure validated.
2025-10-29 13:22:02,176  	INFO    	__main__                           	Setting configuration parameters...
2025-10-29 13:22:02,177  	INFO    	__main__                           	Initializing BigQuery client...
2025-10-29 13:22:02,221  	INFO    	__main__                           	BigQuery client initialized.
2025-10-29 13:22:02,222  	INFO    	__main__                           	Starting data pull...
2025-10-29 13:22:02,235  	INFO    	pipeline.utils.staging             	Running pull_from_bq...
2025-10-29 13:22:02,235  	DEBUG   	google.cloud.bigquery.opentelemetry_tracing	This service is instrumented using OpenTelemetry. OpenTelemetry or one of its components could not be imported; please add compatible versions of opentelemetry-api and opentelemetry-instrumentation packages in order to get BigQuery Tracing data.
2025-10-29 13:22:02,236  	DEBUG   	urllib3.util.retry                 	Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-10-29 13:22:02,238  	DEBUG   	google.auth.transport.requests     	Making request: POST https://oauth2.googleapis.com/token
2025-10-29 13:22:02,239  	DEBUG   	urllib3.connectionpool             	Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-10-29 13:22:02,459  	DEBUG   	urllib3.connectionpool             	https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-10-29 13:22:02,460  	DEBUG   	urllib3.connectionpool             	Starting new HTTPS connection (1): bigquery.googleapis.com:443
2025-10-29 13:22:03,117  	DEBUG   	urllib3.connectionpool             	https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/emoji-oracle-74368/jobs?prettyPrint=false HTTP/1.1" 200 None
2025-10-29 13:22:03,241  	DEBUG   	urllib3.connectionpool             	https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/emoji-oracle-74368/jobs/ca51a3cc-c33c-4080-84b7-c68a65e3a107?projection=full&location=EU&prettyPrint=false HTTP/1.1" 200 None
2025-10-29 13:22:03,676  	DEBUG   	urllib3.connectionpool             	https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/emoji-oracle-74368/queries/ca51a3cc-c33c-4080-84b7-c68a65e3a107?maxResults=0&location=EU&prettyPrint=false HTTP/1.1" 200 None
2025-10-29 13:22:03,807  	DEBUG   	urllib3.connectionpool             	https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/emoji-oracle-74368/jobs/ca51a3cc-c33c-4080-84b7-c68a65e3a107?projection=full&location=EU&prettyPrint=false HTTP/1.1" 200 None
2025-10-29 13:22:04,049  	DEBUG   	urllib3.connectionpool             	https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/emoji-oracle-74368/queries/ca51a3cc-c33c-4080-84b7-c68a65e3a107?fields=jobReference%2CtotalRows%2CpageToken%2Crows&location=EU&formatOptions.useInt64Timestamp=True&prettyPrint=false HTTP/1.1" 200 None
2025-10-29 13:22:04,050  	INFO    	pipeline.utils.pull_functions      	No new tables to process.
2025-10-29 13:22:04,050  	INFO    	pipeline.utils.pull_functions      	Merging data...
2025-10-29 13:22:05,038  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:05,038  	INFO    	pipeline.utils.staging             	Running flatten_dataframe...
2025-10-29 13:22:08,025  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,025  	INFO    	pipeline.utils.staging             	Running dots_to_underscores...
2025-10-29 13:22:08,026  	INFO    	pipeline.utils.cleaning_functions  	Column names updated to use '__' instead of '.' successfully.
2025-10-29 13:22:08,026  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,026  	INFO    	pipeline.utils.staging             	Running transform_datetime_fields...
2025-10-29 13:22:08,079  	INFO    	pipeline.utils.time_and_date_functions	Date/time cleanup and transformation complete.
2025-10-29 13:22:08,082  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,082  	INFO    	pipeline.utils.staging             	Running add_time_based_features...
