2025-10-30 10:38:26,878  	INFO    	__main__                                	Initializing pipeline...
2025-10-30 10:38:45,840  	INFO    	__main__                                	Module imports successful.
2025-10-30 10:38:45,841  	INFO    	__main__                                	Validating folder structure...
2025-10-30 10:38:45,841  	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-30 10:38:45,841  	INFO    	__main__                                	Setting configuration parameters...
2025-10-30 10:38:45,841  	INFO    	__main__                                	Initializing BigQuery client...
2025-10-30 10:38:45,933  	INFO    	__main__                                	BigQuery client initialized.
2025-10-30 10:38:45,990  	INFO    	__main__                                	Starting data pull...
2025-10-30 10:38:46,458  	INFO    	pipeline.utils.staging                  	Running pull_from_bq...
2025-10-30 10:38:48,029  	INFO    	pipeline.utils.pull_functions           	Processing events_20251029...
2025-10-30 10:38:50,550  	INFO    	pipeline.utils.pull_functions           	Fetched 31 rows from events_20251029
2025-10-30 10:38:50,551  	INFO    	pipeline.utils.pull_functions           	Merging data...
2025-10-30 10:38:52,866  	INFO    	pipeline.utils.staging                  	pull_from_bq done.
2025-10-30 10:38:52,866  	INFO    	pipeline.utils.staging                  	Running flatten_dataframe...
2025-10-30 10:38:56,043  	INFO    	pipeline.utils.staging                  	flatten_dataframe done.
2025-10-30 10:38:56,043  	INFO    	pipeline.utils.staging                  	Running dots_to_underscores...
2025-10-30 10:38:56,044  	INFO    	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.
2025-10-30 10:38:56,044  	INFO    	pipeline.utils.staging                  	dots_to_underscores done.
2025-10-30 10:38:56,044  	INFO    	pipeline.utils.staging                  	Running transform_datetime_fields...
2025-10-30 10:38:56,167  	INFO    	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.
2025-10-30 10:38:56,171  	INFO    	pipeline.utils.staging                  	transform_datetime_fields done.
2025-10-30 10:38:56,172  	INFO    	pipeline.utils.staging                  	Running add_time_based_features...
2025-10-30 10:38:56,204  	INFO    	pipeline.utils.time_and_date_functions  	Time-based features added successfully.
2025-10-30 10:38:56,205  	INFO    	pipeline.utils.staging                  	add_time_based_features done.
2025-10-30 10:38:56,205  	INFO    	pipeline.utils.staging                  	Running add_durations...
2025-10-30 10:38:56,771  	INFO    	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 357 unique sessions.
2025-10-30 10:38:56,800  	INFO    	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.
2025-10-30 10:38:56,805  	INFO    	pipeline.utils.staging                  	add_durations done.
2025-10-30 10:38:56,805  	INFO    	pipeline.utils.staging                  	Running forward_fill_progress...
2025-10-30 10:38:56,850  	INFO    	pipeline.utils.feature_engineering      	Character names, tiers, and question indices forward-filled for 357 unique sessions.
2025-10-30 10:38:56,856  	INFO    	pipeline.utils.staging                  	forward_fill_progress done.
2025-10-30 10:38:56,856  	INFO    	pipeline.utils.staging                  	Running question_index_cleanup...
2025-10-30 10:38:56,888  	INFO    	pipeline.utils.cleaning_functions       	Question index cleaned up for 18426 rows.
2025-10-30 10:38:56,889  	INFO    	pipeline.utils.staging                  	question_index_cleanup done.
2025-10-30 10:38:56,889  	INFO    	pipeline.utils.staging                  	Running question_cumulative_qi...
2025-10-30 10:38:56,906  	INFO    	pipeline.utils.feature_engineering      	Cumulative question index calculated for 18426 rows.
2025-10-30 10:38:56,906  	INFO    	pipeline.utils.staging                  	question_cumulative_qi done.
2025-10-30 10:38:56,906  	INFO    	pipeline.utils.staging                  	Running mini_game_features...
2025-10-30 10:38:56,916  	INFO    	pipeline.utils.feature_engineering      	Extracted maze hand data for 73 rows.
2025-10-30 10:38:56,917  	INFO    	pipeline.utils.staging                  	mini_game_features done.
2025-10-30 10:38:56,917  	INFO    	pipeline.utils.staging                  	Running mini_game_reward_split...
2025-10-30 10:38:56,928  	INFO    	pipeline.utils.feature_engineering      	Extracted buff data for 76 rows.
2025-10-30 10:38:56,928  	INFO    	pipeline.utils.staging                  	mini_game_reward_split done.
2025-10-30 10:38:56,928  	INFO    	pipeline.utils.staging                  	Running mini_game_buffs...
2025-10-30 10:38:56,933  	INFO    	pipeline.utils.feature_engineering      	Extracted earned buff data for 75 rows.
2025-10-30 10:38:56,934  	INFO    	pipeline.utils.staging                  	mini_game_buffs done.
2025-10-30 10:38:56,934  	INFO    	pipeline.utils.staging                  	Running mini_game_dolls...
2025-10-30 10:38:56,940  	INFO    	pipeline.utils.feature_engineering      	Extracted doll data for 23 rows.
2025-10-30 10:38:56,940  	INFO    	pipeline.utils.staging                  	mini_game_dolls done.
2025-10-30 10:38:56,941  	INFO    	pipeline.utils.staging                  	Running currency_define_permanent...
2025-10-30 10:38:56,947  	INFO    	pipeline.utils.feature_engineering      	Extracted permanent shop item data for 42 rows.
2025-10-30 10:38:56,947  	INFO    	pipeline.utils.staging                  	currency_define_permanent done.
2025-10-30 10:38:56,947  	INFO    	pipeline.utils.staging                  	Running currency_define_consumable...
2025-10-30 10:38:56,954  	INFO    	pipeline.utils.feature_engineering      	Extracted consumable shop item data for 206 rows.
2025-10-30 10:38:56,954  	INFO    	pipeline.utils.staging                  	currency_define_consumable done.
2025-10-30 10:38:56,954  	INFO    	pipeline.utils.staging                  	Running currency_define_board...
2025-10-30 10:38:56,958  	INFO    	pipeline.utils.feature_engineering      	Extracted board item data for 83 rows.
2025-10-30 10:38:56,958  	INFO    	pipeline.utils.staging                  	currency_define_board done.
2025-10-30 10:38:56,958  	INFO    	pipeline.utils.staging                  	Running currency_define_keys...
2025-10-30 10:38:56,960  	INFO    	pipeline.utils.feature_engineering      	Defined keys in spent_to for 6 rows.
2025-10-30 10:38:56,960  	INFO    	pipeline.utils.staging                  	currency_define_keys done.
2025-10-30 10:38:56,960  	INFO    	pipeline.utils.staging                  	Running apply_value_maps...
2025-10-30 10:38:57,013  	WARNING 	pipeline.utils.feature_engineering      	'event_params__ad_shown_where' not found in DataFrame.
2025-10-30 10:38:57,016  	WARNING 	pipeline.utils.feature_engineering      	'spent_in_crystal' not found in DataFrame.
2025-10-30 10:38:57,026  	INFO    	pipeline.utils.staging                  	apply_value_maps done.
2025-10-30 10:38:57,026  	INFO    	pipeline.utils.staging                  	Running question_addressable_index...
2025-10-30 10:38:57,044  	INFO    	pipeline.utils.feature_engineering      	Question address created for 18426 rows.
2025-10-30 10:38:57,044  	INFO    	pipeline.utils.staging                  	question_addressable_index done.
2025-10-30 10:38:57,044  	INFO    	__main__                                	Data pipeline executed successfully.
2025-10-30 10:38:57,044  	INFO    	__main__                                	Generating dataframes...
2025-10-30 10:38:57,544  	INFO    	analtytics.utils.split_functions        	Session-level dataframe created with 357 records and 15 columns.
2025-10-30 10:38:57,545  	INFO    	__main__                                	Dataframes generated successfully.
2025-10-30 10:38:59,313  	INFO    	__main__                                	Data pipeline complete. Processed data saved.
2025-10-30 10:45:41,911  	INFO    	__main__                                	Initializing pipeline...
2025-10-30 10:45:43,351  	INFO    	__main__                                	Module imports successful.
2025-10-30 10:45:43,351  	INFO    	__main__                                	Validating folder structure...
2025-10-30 10:45:43,352  	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-30 10:45:43,352  	INFO    	__main__                                	Setting configuration parameters...
2025-10-30 10:45:43,352  	INFO    	__main__                                	Initializing BigQuery client...
2025-10-30 10:45:43,396  	INFO    	__main__                                	BigQuery client initialized.
2025-10-30 10:45:43,398  	INFO    	__main__                                	Starting data pull...
2025-10-30 10:45:43,412  	INFO    	pipeline.utils.staging                  	Running pull_from_bq...
2025-10-30 10:45:44,862  	INFO    	pipeline.utils.pull_functions           	No new tables to process.
