column_name,field_path,data_type
app_info,app_info,"STRUCT<id STRING, version STRING, install_store STRING, firebase_app_id STRING, install_source STRING>"
app_info,app_info.firebase_app_id,STRING
app_info,app_info.id,STRING
app_info,app_info.install_source,STRING
app_info,app_info.install_store,STRING
app_info,app_info.version,STRING
batch_event_index,batch_event_index,INT64
batch_ordering_id,batch_ordering_id,INT64
batch_page_id,batch_page_id,INT64
collected_traffic_source,collected_traffic_source,"STRUCT<manual_campaign_id STRING, manual_campaign_name STRING, manual_source STRING, manual_medium STRING, manual_term STRING, manual_content STRING, manual_source_platform STRING, manual_creative_format STRING, manual_marketing_tactic STRING, gclid STRING, dclid STRING, srsltid STRING>"
collected_traffic_source,collected_traffic_source.dclid,STRING
collected_traffic_source,collected_traffic_source.gclid,STRING
collected_traffic_source,collected_traffic_source.manual_campaign_id,STRING
collected_traffic_source,collected_traffic_source.manual_campaign_name,STRING
collected_traffic_source,collected_traffic_source.manual_content,STRING
collected_traffic_source,collected_traffic_source.manual_creative_format,STRING
collected_traffic_source,collected_traffic_source.manual_marketing_tactic,STRING
collected_traffic_source,collected_traffic_source.manual_medium,STRING
collected_traffic_source,collected_traffic_source.manual_source,STRING
collected_traffic_source,collected_traffic_source.manual_source_platform,STRING
collected_traffic_source,collected_traffic_source.manual_term,STRING
collected_traffic_source,collected_traffic_source.srsltid,STRING
device,device,"STRUCT<category STRING, mobile_brand_name STRING, mobile_model_name STRING, mobile_marketing_name STRING, mobile_os_hardware_model STRING, operating_system STRING, operating_system_version STRING, vendor_id STRING, advertising_id STRING, language STRING, is_limited_ad_tracking STRING, time_zone_offset_seconds INT64, browser STRING, browser_version STRING, web_info STRUCT<browser STRING, browser_version STRING, hostname STRING>>"
device,device.advertising_id,STRING
device,device.browser,STRING
device,device.browser_version,STRING
device,device.category,STRING
device,device.is_limited_ad_tracking,STRING
device,device.language,STRING
device,device.mobile_brand_name,STRING
device,device.mobile_marketing_name,STRING
device,device.mobile_model_name,STRING
device,device.mobile_os_hardware_model,STRING
device,device.operating_system,STRING
device,device.operating_system_version,STRING
device,device.time_zone_offset_seconds,INT64
device,device.vendor_id,STRING
device,device.web_info,"STRUCT<browser STRING, browser_version STRING, hostname STRING>"
device,device.web_info.browser,STRING
device,device.web_info.browser_version,STRING
device,device.web_info.hostname,STRING
